CRUISE,CTD_INDEX,CTD_DEPTH,Temperature,Salinity,Density,Chlorophyll,Oxygen,station
2103,212,106,9.205800056,33.9382019,26.25559998,0,2.500999928,MON
2103,212,108,9.023300171,33.9197998,26.27039909,0,2.717999935,MON
2103,212,110,9.034500122,33.92760086,26.27479935,0,2.625999928,MON
2103,212,112,9.075900078,33.9516983,26.28709984,0,2.493000031,MON
2103,212,114,8.998100281,33.94260025,26.29240036,0,2.647000074,MON
2103,211,6,11.1882,33.72129822,25.74609947,1.607481956,5.781000137,MON
2103,211,8,11.18809986,33.72159958,25.74640083,1.530966997,5.781000137,MON
2103,211,10,11.18859959,33.7215004,25.74629974,1.69055903,5.777999878,MON
2103,211,12,11.18900013,33.7215004,25.74620056,1.835275054,5.78000021,MON
2103,211,14,11.1875,33.72140121,25.74650002,2.042817116,5.758999825,MON
2103,211,16,11.18089962,33.72129822,25.74769974,3.032100916,5.764999866,MON
2103,211,18,11.16349983,33.72290039,25.75209999,3.122484922,5.761000156,MON
2103,211,20,11.15019989,33.72460175,25.75580025,3.38200593,5.739999771,MON
2103,211,22,11.14610004,33.72539902,25.75729942,3.575685978,5.729000092,MON
2103,211,24,11.1395998,33.72679901,25.75959969,3.805694103,5.728000164,MON
2103,211,26,11.13780022,33.72740173,25.76040077,3.548293114,5.709000111,MON
2103,211,28,11.13589954,33.72800064,25.76129913,3.36204505,5.705999851,MON
2103,211,30,11.13210011,33.72909927,25.76280022,3.037414074,5.652999878,MON
2103,211,32,11.08069992,33.72930145,25.77230072,2.883089066,5.56799984,MON
2103,211,34,10.96860027,33.72710037,25.79059982,2.938736916,5.1649999619999996,MON
2103,211,36,10.67259979,33.73059845,25.84569931,1.995919943,4.824999809,MON
2103,211,38,10.4357996,33.73920059,25.89380074,0.883863628,4.68900013,MON
2103,211,40,10.4076004,33.74689865,25.90469933,0.549501479,4.65899992,MON
2103,211,42,10.39410019,33.75400162,25.91259956,0.522745192,4.604000092,MON
2103,211,44,10.3263998,33.77510071,25.94079971,0.584968984,4.504000187,MON
2103,211,46,10.27270031,33.78580093,25.95840073,0.62761271,4.448999882,MON
2103,211,48,10.24919987,33.79240036,25.96759987,0.580334783,4.441999912,MON
2103,211,50,10.23999977,33.79859924,25.97400093,0.68387121,4.413000107,MON
2103,211,52,10.21949959,33.80339813,25.98139954,0.520889401,4.373000145,MON
2103,211,54,10.20689964,33.80609894,25.98559952,0.436840206,4.34499979,MON
2103,211,56,10.18490028,33.80939865,25.99200058,0.493617892,4.309999943,MON
2103,211,58,10.14389992,33.81600189,26.00419998,0.522296071,4.168000221,MON
2103,211,60,10.0461998,33.83179855,26.03310013,0.381465405,4.052999973,MON
2103,211,62,9.988300323,33.83929825,26.04879951,0.275949806,4.008999825,MON
2103,211,64,9.971599579,33.84120178,26.05310059,0.246247903,3.989000082,MON
2103,211,66,9.937000275,33.84479904,26.0618,0.320629895,3.907000065,MON
2103,211,68,9.858499527,33.85739899,26.08480072,0.194128096,3.812999964,MON
2103,211,70,9.827599525,33.86449814,26.09550095,0.141122103,3.7750000950000002,MON
2103,211,72,9.776800156,33.87110138,26.10930061,0.086702712,3.648000002,MON
2103,211,74,9.719900131,33.87649918,26.12299919,0.076722242,3.50999999,MON
2103,211,76,9.648599625,33.88439941,26.14100075,0.08213111,3.339999914,MON
